Name,Description
Exact Online,Exact Online is online business software for business owners and accountants  We offer integrated packages for small businesses in manufacturing  wholesale distribution and professional services as well as for accounting and CPA firms  The Exact Online REST API allows developers to incorporate Exact Online functionality into third party applications  API services include CRM  assets  documents  accounting  payroll  projects  users  and more 
FastBill,The Fast Bill API offers a billing system tailored for small and medium businesses  It features custom template design  document archiving  and recurring billing  This API returns data in XML  JSON  and requires an API Key  Fast Bill is based in Germany  and creates software  that helps freelancers and small businesses get paperwork done  
Intuit QuickBooks Online Accounting,Integrate your app with the Quick Books Online API  This unified API gives you access to Quick Books Online accounting features and payment processing services  too  In a click  your customer can connect to Quick Books Online from your app  sign in with their Intuit Account  and instantly access their Quick Books Online company data  You can also reach Intuit s customer base  by listing your app on Quick Books Apps com  where millions of Quick Books users go to find  try  buy  and use apps that work with their accounting and payment solutions 
Intuit QuickBooks Online Webhooks Streaming API,This Intuit Quick Books Online API is a Webhooks service that provides notifications about Quick Books entities with data for the requested event aggregated and sent as a notification to your call back URL or service  It allows you to be notified when a customer s information changes and to receive event notifications for all companies that your application is connected to  Intuit delivers services like Turbo Tax  Quick Books  and Mint that supports platform APIs to build applications for small business accounting ecosystems 
MYOB Essentials Accounting,MYOB Essentials is an online accounting solution  The MYOB Essentials API offers users access to MYOB Essentials data  and allows for adaptation of its relevant features  This API is RESTful and documentation can be acquired upon MYOB application acceptance 
MYOB EXO,The MYOB EXO API is a platform designed to connect with EXO Business databases  MYOB is an online accounting service  and it s EXO API offers customizable tools for analysis and reports  and integration with other online services  third party apps  and mobile apps  This API is RESTful  and documentation can be obtained by applying for access via MYOB 
PayTraq POS,The Pay Traq Point of Sale API is an extension of the REST API  activated from the Money to Cash Accounts and POS Connectors path  Developers can make requests over HTTPS with POST verbs that display XML responses in return  Pay Traq provides accounting software for businesses 
PayTraq,The Pay Traq API allows developers to programmatically access their clients  suppliers  employees  items  warehousing  sales  purchases  inventory moves  payments  and accounting from a single interface  Pay Traq is an enterprise resource planning  ERP  service for business owners  organizers  and accountants  They provide a cloud based business suite that includes accounting and bookkeeping services 
ready2order REST API v1,ready 2 order is an Austria based providers of accounting and ecommerce software solutions  The ready 2 order API allows developers to build billing system applications that are tailored for use by small and medium sized enterprises  Developers can use the API to integrate custom template designs  document archiving  and recurring billing functionalities in accounting apps 
Reckon One,The RESTful API for Reckon One is a modular accounting system that allows developers to turn modules on and off each month to manage business costs  Protocols available in JSON   access with OAuth 2  Reckon One  based in Australia  provides accounting software for small and medium sized businesses 
Reviso RPC API,The Reviso API allows developers to integrate accounting functions into their own applications and systems  Reviso provides all standard accounting features  such as online invoicing  reports  support for VAT schemes  and free access for accountants and bookkeepers  Reviso is 100  online and allows users to import data from their previous systems 
Rossum Elis Invoice Extraction REST API v1.0,The Rossum Elis Invoice Extraction API provides a universal invoice extraction service based on Artificial Intelligence  API currently supports English  UK  US and world regions   German  DE region  and Czech language invoices  with more languages being added as we train them  Model covers the full standard taxonomy of invoice data  as detailed in our documentation 
Sage One,The Sage One API allows to access accounting features to integrate into business applications  Protocols available in JSON  Authentication is possible via OAuth 2 0  Sage One provides secure accounting  bookkeeping  and payroll software for small businesses 
Sequence REST API v1.2,The Sequence API offers a cloud based ledger which allows companies to focus on product development and delivery  Sequence can be integrated with mobile wallets  lending platforms  payment services  asset managers  and more  Calls require an API Key  The company behind Sequence  Chain Inc  offers services that bring blockchain networks to market 
SoftLedger REST API v1.0,The Soft Ledger API retrieves crypto asset accounting and reporting data  With the API  developers can integrate bills  cash receipts  coins information  contracts  crypto transactions  and invoices  The REST API supports JWT authentication and JSON format  Soft Ledger is accounting software targeted to cryptocurrency companies 
Staffology Payroll REST API v1.0,This Payroll API is a RESTful service that provides programmatic access to Staffology for performing Payroll functions in the United Kingdom  The API supports JSON formats for POST GET PUT DELETE requests and responses that includes  Account  Attachment Order  Auto Enrolment  Billing and more  Staffology is a web payroll application designed for the United Kingdom 
STFB Enterprise X ERP REST API v1.1,STFB offers a full enterprise resource planning system with access to over 400 accounting and ledger functions  and tools for hosted solutions  This platform offers all the standard modules in an ERP system including general ledger  financial statements  accounts receivable  accounts payable  inventory  employee management  and extras like shopping carts  MRP  and CRM  The API features REST architecture and JSON responses 
Suntico Sage 50,The Suntico Sage 50 API is designed to help users create apps that connect with data from the hundreds of thousands of companies using Sage 50 Accounting and Sage 50 Accounts  Sage is a business management software and services provider whose products handle common business tasks such as accounting  HR  payroll  payments  enterprise resource planning  and customer relationship management  Suntico is an Irish software company and authorized Sage developer Track APIClone version
Twinfield,The Twinfield API integrates online accounting into web services  It is available in XML format via OAuth  With the API  developers can integrate transaction data that includes bank  cash  purchase  sales  and statements 
Xero Accounting REST API v2.0,The Xero Accounting API is a RESTful web service that uses the OAuth 1 protocol to authenticate 3 rd party applications  JSON formatted responses are supported and allows you to upload an attachment against an existing document  download the content of a specific attachments  retrieve any bank transfers  create contact groups and more  Xero APIs expose accounting and related functions of the main Xero application and includes features for  creating transactions  invoices and credit notes  extracting accounting data etc  Xero provides cloud based accounting software to simplify accounting and bookkeeping processes 
Xero Assets REST API v1.0,Xero is a provider of cloud based accounting software  The Xero Assets API allows users to organize fixed assets using the Xero Accounting platform  It can be used to create assets and retrieve assets valuations among other tasks 
Xero Bank Feeds REST API v1.0,The Xero Bank Feeds API provides daily cash flow updates  This API is only available to financial institutions that have their integration certified by Xero prior to making the integration available to customers and that have established a financial services partnership with Xero  Xero APIs expose accounting and related functions of the main Xero application and includes features for  creating transactions  invoices and credit notes  extracting accounting data etc  Xero provides cloud based accounting software to simplify accounting and bookkeeping processes 
Xero Files,Offered by Xero  an accounting software service  the Files API offers Xero interfaces with members  files and folders  The RESTful API accepts requests in either JSON or XML and authenticates third party apps via OAuth 1  Use the XERO Files API to upload and download files  manage folders  and associate files with other documents like invoices or contacts 
Xero HQ,Xero is a provider of cloud based accounting software  Integration of the Xero HQ API in applications simplifies accounting and bookkeeping processes  Businesses interested in the API is required to either contact a developer or fill out an app partner form through a link provided at the API s portal 
Xero Payroll NZ REST API v2.0,The Xero Payroll API exposes payroll related functions of the payroll Xero application and can be used for a variety of purposes such as syncing employee details  importing timesheets etc  It is a RESTful web service that uses the OAuth protocol to authenticate 3 rd party applications  Only Xero users with payroll administrator access can authorize access to payroll endpoints  NZ Xero organisations must have concluded the payroll setup steps before the Payroll API can be used  Xero APIs expose accounting and related functions of the main Xero application and includes features for  creating transactions  invoices and credit notes  extracting accounting data etc  Xero provides cloud based accounting software to simplify accounting and bookkeeping processes 
Xero Payroll UK REST API v2.0,This UK Payroll API is currently in beta  you will need to contact Xero to gain access  The Xero Payroll API exposes payroll related functions of the payroll Xero application and can be used for a variety of purposes such as syncing employee details  importing timesheets etc  It is a RESTful web service that uses the OAuth protocol to authenticate 3 rd party applications  The UK Payroll API is currently in beta  only Xero users with payroll administrator access can authorize access to payroll endpoints  Xero APIs expose accounting and related functions of the main Xero application and includes features for  creating transactions  invoices and credit notes  extracting accounting data etc  Xero provides cloud based accounting software to simplify accounting and bookkeeping processes 
Xero Projects REST API v1.0,The Projects API is currently in closed beta  contact api xero com if you re interested in gaining access  The Xero Projects API allows businesses to track time and costs on projects and report on the profitability  Xero APIs expose accounting and related functions of the main Xero application and includes features for  creating transactions  invoices and credit notes  extracting accounting data etc  Xero provides cloud based accounting software to simplify accounting and bookkeeping processes 
Xero Signup REST API v1.0,The Xero Signup API is a RESTful web service that allows you to trigger new Xero signups from your application  Xero APIs expose accounting and related functions of the main Xero application and includes features for  creating transactions  invoices and credit notes  extracting accounting data etc  Xero provides cloud based accounting software to simplify accounting and bookkeeping processes 
Xero Webhooks Streaming API,The Xero Webhooks API allows you to subscribe to events in Xero that are currently limited to contact and invoice events  It provides a way to receive a HTTP POST payload to the webhook s configured URL  The Webhooks are configured on a per app basis and Xero will send you events for every Xero organisation connected to the app  Webhooks can only be created for private and partner application and public connections only last for 30 minutes and are not suitable for webhooks  Xero provides cloud based accounting software to simplify accounting and bookkeeping processes 
Xero WorkflowMax Practice Manager,The Xero Practice Manager API is built on the Workflow Max product whose documentation is currently located on the Workflow Max website  The Workflow Max API is organized around RESTful principles  Each resource has a unique URI and HTTP verbs that are used to specify the action to perform on that resource  Xero APIs expose accounting and related functions of the main Xero application and includes features for  creating transactions  invoices and credit notes  extracting accounting data etc  Xero provides cloud based accounting software to simplify accounting and bookkeeping processes 
ZipBooks,Zip Books provides small businesses with free invoicing software  The Zip Books API allows for the creation of Zip Books  users in its user friendly online invoicing service  Developers can also use this tool to create and update clients  projects  tasks  time  create estimate and expenses  and more 
Zoho Books,The Zoho Books API is accounting software for small businesses  It is RESTful  HTTP and JSON formatted  and allows access to all the typical Zoho Books functionalities  while also offering a platform for customization  Through Zoho Books  users can send invoices  accept payments  and manage and categorize cash flow  Access to documentation requires a Zoho username and password  However  Zoho does offer free trials  With a paid membership users are limited to 2500 API requests per day per business 
Act-On Account,The Act On Account API allows developers to integrate their applications with the API service  enabling their users to get and manage customers  account information  Act On is a marketing automation software provider 
DBS Channel Preferences REST API v1.0,The DBS Channel Preferences API provides functions to view and manager customer s preference for a specific Banking channel and also to view and manage entities that were recently accessed by customer You must register for a developer account with DBS  free of charge  to access the documentation  The API is very well documented This API also has a Sandbox Environment for you to test in  The Sandbox Environment only allows one Transaction  Request  per second for a given Application and API Operation DBS  The Development Bank of Singapore Limited   DBS Group  is a leading financial services group in Asia  They are headquartered in Singapore  with a growing presence in Greater China  Southeast Asia and South Asia 
DBS Fund Transfer REST API v1.0,The DBS Fund Transfer API provide functions to transfer money between own accounts or to third parties within or outside the bank  Current scope supports Transfers in Singapore GIRO  SG  only  This section showcases all available endpoints and operations for Fund Transfers API You must register for a developer account with DBS  free of charge  to access the documentation  The API is very well documented This API also has a Sandbox Environment for you to test in  The Sandbox Environment only allows one Transaction  Request  per second for a given Application and API Operation DBS  The Development Bank of Singapore Limited   DBS Group  is a leading financial services group in Asia  They are headquartered in Singapore  with a growing presence in Greater China  Southeast Asia and South Asia 
DBS Limits REST API v1.0,The DBS Limits  Management  API provides functionality for parties to customize their limits based on channels  category of transactions and scope  This API also provides application partners to check and manage limits utilized by a party You must register for a developer account with DBS  free of charge  to access the documentation  The API is very well documented This API also has a Sandbox Environment for you to test in  The Sandbox Environment only allows one Transaction  Request  per second for a given Application and API Operation DBS  The Development Bank of Singapore Limited   DBS Group  is a leading financial services group in Asia  They are headquartered in Singapore  with a growing presence in Greater China  Southeast Asia and South Asia 
DBS Loans REST API v1.0,The  Mortgage  Loan API provide functionalities to create and save  retrieve  update  cancel and search for a mortgage loan application  view list of loan pricing packages and to request for instant loan assessment  Current scope covers only retail applicant s  You must register for a developer account with DBS  free of charge  to access the documentation  The API is very well documented This API also has a Sandbox Environment for you to test in  The Sandbox Environment only allows one Transaction  Request  per second for a given Application and API Operation DBS  The Development Bank of Singapore Limited   DBS Group  is a leading financial services group in Asia  They are headquartered in Singapore  with a growing presence in Greater China  Southeast Asia and South Asia 
DBS Payees REST API v1.0,The DBS Payees API provides payee management functionalities such as adding new payees  retrieving payee details  and retrieving registered payee lists You must register for a developer account with DBS  free of charge  to access the documentation  The API is very well documented This API also has a Sandbox Environment for you to test in  The Sandbox Environment only allows one Transaction  Request  per second for a given Application and API Operation DBS  The Development Bank of Singapore Limited   DBS Group  is a leading financial services group in Asia  They are headquartered in Singapore  with a growing presence in Greater China  Southeast Asia and South Asia 
Facebook Account Kit Graph REST API v1.3,Account Kit allows you to register and log into your application using a phone number or email address as passwordless credentials  It is powered by Facebook s email  SMS and Whats App and does not require a Facebook account  Facebook for Developers enables you with the ability to build  grow and monetize amazing apps 
GoSquared Account,The Go Squared Account API allows developers to perform administrative actions against Go Squared accounts  by integrating its services to their applications  These actions include changing settings  configuration  and listing resources under the account  Go Squared is a real time people analytics company that provides customers information about their visitors  from websites  
Lightrail REST API v1,The Lightrail API returns data of digital account credits  gift cards  promotions  and points  aiming customer acquisition and retention  It s available in REST architecture with JSON callbacks and API Key as the authentication method  Lightrail is a gift card and store credit account service provider 
OrganiCity Permissions REST API v2.1,This API allows you to read global roles assigned to a user  read roles specific to requesting client assigned to a user  add or remove global roles to or from a user and more  This component streamlines the handling of reading  editing and assigning roles for specific users  The functionalities of this API are only available to the service accounts of clients  and require appropriate roles  Organicity is a company that creates smart cities of the future as a platform for interaction between everyone including citizens  activists  researchers  businesses  government and more 
Spinbot.net Account Info REST API v5.0,The Spinbot net Account Info API offers user credit information such as number of credits and expiration  JSON is the preferred response format  and API Keys for authentication  Spinbot net is an IT firm that provides article processing services  3 paid plans are available  and a free plan is also available for new users only Track APIClone version
Spredfast Account,Spredfast Account API provides developers limited meta information about a set of streams that belongs to an individual account  A user in the system can have multiple streams in their account  this API is useful for accessing multiple streams from a specific user performing a single request 
WP Rocket Reseller REST API v1,WP Rocket operates as a Word Press premium caching plugin that expedites website speed and set up  The WP Rocket platform facilitates the acquisition of discounted personal licenses for implementing WP Rocket Reseller program  Integrate the WP Rocket Reseller API to automate the generation of WP Rocket accounts for customers that purchase accounts through the company s reseller program 
